time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.988059711485193e-07,-5.965474710999162e-08,10.005268197067096,6.282855656644905,0.00039169209249223513,0.0,-4.1568702301580815e-05,-1.6977268126677406e-05,0.17559511563652164,-0.019725442574088377,0.017137619606802997,0.0,459.41450161871336,460.7710066615662,461.20857514326735,459.64836302838717
0.12000000000000001,-1.678249603261631e-05,-1.3572908901010727e-05,10.021439272987443,6.281920872444481,0.001626429410518604,0.0,-0.0006322129893906598,-0.0005540250372903046,0.3633989693718769,-0.008364308257988574,0.026699211029339854,0.0,463.36473246077327,464.1156316436173,463.76459601731904,464.65604974219946
0.18,-0.0001017062257690226,-7.98260080837567e-05,10.05004568002534,6.281587198778013,0.003170241429740095,0.0,-0.0023884441959814424,-0.0017041156919526468,0.5900576018252156,-0.00047367561247634027,0.023718398583934368,0.0,474.9184283860506,474.68985717811086,476.0218965637301,476.62532956702137
0.23999999999999996,-0.00032969837397360795,-0.0002209718911831113,10.092479161992822,6.282033599515492,0.004293642371633766,0.0,-0.005369123296814564,-0.0029708728322922176,0.8242517233804069,0.019831955436453448,0.006166828209912805,0.0,478.655094843975,477.3176392896291,477.1979461360692,478.74515829597726
0.3,-0.0007570957028075691,-0.00042155027030450033,10.14842628188655,0.00019178832457811268,0.004389768256478632,0.0,-0.008906964167005501,-0.0035633949696468,1.0404804957343483,0.027073409361517184,-0.009599634365007992,0.0,473.2387408706295,472.023730572185,473.1988147372129,473.75585247441956
0.36000000000000004,-0.0013907875739302925,-0.0006240092369886675,10.216184702347862,0.0018438113103291798,0.004387726564088368,0.0,-0.012187974372597178,-0.002999423631850044,1.21796117458146,0.028438661119831024,0.014327293869173991,0.0,461.34552412113976,463.23068159245423,461.5040754891886,461.6119672855558
0.4200000000000001,-0.002229310181596741,-0.0007529470527150556,10.295066196602878,0.0038462127626885945,0.005671504446319808,0.0,-0.015889142905326184,-0.001082545263219751,1.4112023978589165,0.04176178566666889,0.03271551849542265,0.0,465.2410557857616,466.6784006125689,467.5483811003618,468.5854965968595
0.48000000000000015,-0.0033475756486768854,-0.000700109196247005,10.389426983238858,0.006274680841579006,0.007386110403157176,0.0,-0.021634083507111716,0.003174966298272778,1.7337226277423339,0.03776757466167668,0.01865260635084296,0.0,504.6941665349449,503.6783607302383,504.9089922114977,504.6214101700242
0.5400000000000001,-0.00481980321428679,-0.0003560313575772719,10.498743556389792,0.00846413218344022,0.0082875058275107,0.0,-0.027553883381980858,0.0085448872483322,1.9098829789398817,0.03380732779115531,0.006542774686383043,0.0,463.43933863878436,462.4864813337317,463.83099608649155,463.52044444711913
0.6000000000000002,-0.00669887815543357,0.0003957360756924225,10.62270162385532,0.010657035560252659,0.008381630488464076,0.0,-0.03511319621295816,0.016791121716736426,2.2214982773011696,0.04153209867196994,-0.010922013858583735,0.0,503.20278526331805,501.9369988371509,502.97434686036286,503.53388040357305
0.6600000000000003,-0.009002487848403535,0.0016684314599529695,10.762168943434279,0.012671331131015151,0.007549417174117501,0.0,-0.041583882633432365,0.025903016700098803,2.426996839518945,0.00863706937946857,-0.020536824127565398,0.0,473.8423576109496,473.10279155634066,475.3657962650917,472.8388152995346
0.7200000000000003,-0.011648407104822607,0.0034861754952521407,10.910729913800854,0.013653451782202453,0.006357383540196437,0.0,-0.046488751088109216,0.03476538034697692,2.5248241985209683,0.028532684387563623,-0.01856068798372929,0.0,441.7140351309067,441.87699523130135,441.196412375448,442.8359098375648
0.7800000000000004,-0.014562301661707857,0.005855144650615913,11.06481717906561,0.015423987990184074,0.005079227151449928,0.0,-0.050521056426888124,0.044371702291061986,2.611222573875041,0.031392940112155536,-0.027443368564916765,0.0,439.2496873444783,438.51242814463757,438.4963432513862,438.7341587252178
0.8400000000000004,-0.017705625304212286,0.00889013083338865,11.227302618326886,0.01864035349086013,0.003321974707626296,0.0,-0.054057628530698294,0.05710443912313063,2.804500689063785,0.07907532329079417,-0.03325688733143729,0.0,472.09930492078206,471.6503286710901,470.02979495907107,473.71200055408684
0.9000000000000005,-0.021015366623956432,0.012752368840796648,11.400247074489721,0.022980606251778113,0.0008373660966789487,0.0,-0.05603001262183717,0.07213573960512967,2.9599153643298175,0.053360851987931245,-0.06745658485781372,0.0,463.6082373334014,460.9121238549276,461.783433433047,459.7542108830641
0.9600000000000005,-0.0243802673899912,0.017657875761816443,11.584633783948075,0.025603289349667158,6.280515444085161,0.0,-0.05568319099901203,0.09174192573379172,3.1856978770930025,0.0046345676168795535,-0.0447510553162096,0.0,482.0739544357707,483.78434105600275,485.1213084997954,481.4493680482203
1.0200000000000005,-0.027669235578751245,0.02358558012830275,11.774610904810025,0.02583118592361444,6.27791573127142,0.0,-0.053733661853425894,0.10587151707741438,3.1469784969451515,0.002070829665738254,-0.04062614601548019,0.0,400.2128545245971,400.5868621600205,401.56453051593405,401.3318206418196
1.0800000000000005,-0.030770471648839372,0.030495652559841397,11.96733184995587,0.026203071356800223,6.275816535780013,0.0,-0.049403707635701566,0.12448213703137963,3.2766874478169963,0.013385993183713158,-0.02559301001370837,0.0,454.71485836019235,455.9170359639549,455.38843541711435,456.2925684431819
1.1400000000000006,-0.033570469374095815,0.03853144710375523,12.167784228292144,0.026620787572862348,6.2744948303149215,0.0,-0.043781631360609044,0.14343750310106151,3.404682014390139,-0.010735649389825304,-0.015713337976501977,0.0,455.3466626502647,456.13633227320327,456.8588230197073,454.9313634939828
